1068002 function calls in 31.311 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.371    0.371   31.311   31.311 <string>:1(<module>)
      856    0.003    0.000    0.029    0.000 __init__.py:138(gen_unique_ident)
      861    0.003    0.000    0.021    0.000 __init__.py:18(rel2abs)
     1127    0.006    0.000    0.014    0.000 __init__.py:19(_uploadStatus)
     1127    0.005    0.000    0.009    0.000 __init__.py:27(_recieveStatus)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
        1    0.000    0.000    0.001    0.001 __init__.py:299(loads)
      861    0.001    0.000    0.022    0.000 __init__.py:3(asset_path)
     1127    0.008    0.000    0.017    0.000 __init__.py:41(_frameUpdate)
        1    0.000    0.000    0.006    0.006 __init__.py:62(initializeGL)
     1127    0.005    0.000    0.585    0.001 __init__.py:66(paintGL)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:759(get)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.001    0.001 decoder.py:332(decode)
        1    0.001    0.001    0.001    0.001 decoder.py:343(raw_decode)
       12    0.000    0.000    0.000    0.000 editor.py:101(__init__)
      492    0.002    0.000    0.019    0.000 editor.py:1019(remove)
      856    0.000    0.000    0.000    0.000 editor.py:1028(setIdent)
     1712    0.003    0.000    0.109    0.000 editor.py:1031(setName)
     2267    0.002    0.000    0.003    0.000 editor.py:1037(getOptions)
     2267    0.001    0.000    0.001    0.000 editor.py:1039(<listcomp>)
      856    0.005    0.000    0.208    0.000 editor.py:1041(setOptions)
      856    0.006    0.000    0.140    0.000 editor.py:1047(initDummySockets)
      856    0.031    0.000    2.801    0.003 editor.py:1065(initCondButtons)
      856    0.040    0.000    4.552    0.005 editor.py:1088(initSockets)
    13988    0.023    0.000    0.029    0.000 editor.py:1142(boundingRect)
     4781    0.100    0.000    0.374    0.000 editor.py:1146(paint)
     1712    0.001    0.000    0.001    0.000 editor.py:119(descs)
     2267    0.011    0.000    0.023    0.000 editor.py:1224(dump)
       24    0.000    0.000    0.000    0.000 editor.py:127(setContentChanged)
      856    0.008    0.000    4.813    0.006 editor.py:1295(load)
       66    0.001    0.000    0.024    0.000 editor.py:130(dumpGraph)
        1    0.000    0.000    0.000    0.000 editor.py:1331(__init__)
        1    0.000    0.000    0.000    0.000 editor.py:1354(__init__)
        1    0.004    0.004    0.009    0.009 editor.py:1377(__init__)
        4    0.000    0.000    0.020    0.005 editor.py:139(newGraph)
        3    0.000    0.000    0.000    0.000 editor.py:1414(timerEvent)
        3    0.000    0.000    0.000    0.000 editor.py:1418(auto_save)
       36    0.000    0.000    0.000    0.000 editor.py:1419(<genexpr>)
        2    0.000    0.000    0.000    0.000 editor.py:1435(clearScenes)
       11    0.000    0.000    2.115    0.192 editor.py:144(loadGraphEx)
       17    0.000    0.000    0.011    0.001 editor.py:1445(switchScene)
       15    0.000    0.000    0.000    0.000 editor.py:1458(scene)
        1    0.000    0.000    0.000    0.000 editor.py:1462(handleEnvironParams)
        1    0.000    0.000    0.000    0.000 editor.py:1472(showEvent)
        1    0.000    0.000    0.000    0.000 editor.py:1476(initShortcuts)
        1    0.000    0.000    0.003    0.003 editor.py:1483(initExecute)
        4    0.000    0.000    4.033    1.008 editor.py:1500(on_switch_graph)
        7    0.001    0.000    0.001    0.000 editor.py:1510(setDescriptors)
        6    0.000    0.000    0.029    0.005 editor.py:1517(initDescriptors)
       15    0.005    0.000    6.092    0.406 editor.py:152(loadGraph)
        1    0.000    0.000    0.000    0.000 editor.py:1560(bkwdCompatProgram)
        1    0.000    0.000    2.123    2.123 editor.py:1599(loadProgram)
        1    0.000    0.000    0.000    0.000 editor.py:1623(newProgram)
