prim 几何图元
prim1 几何图元1
prim2 几何图元2
primA 几何图元A
primB 几何图元B
primC 几何图元C
primList 几何图元列表
mergedPrim 合并后的几何图元
slicePrim 切片后的几何图元
Mesh 多边形图元
outPrim 输出几何图元
PrimitiveMesh 多边形几何图元
triMesh 三角形几何图元
meshPrim 多边形几何图元
particlesPrim 粒子几何图元

attr 属性
attrName 属性名
channelName 通道名
zfxCode ZFX代码
params 参数词典
dt 时间步长
dx 空间粒度
gravity 重力

seed 随机种子
numRandPoints 随机点个数
breakThres 断裂阈值(连接强度)
totalArea 总面积
periodicX X方向周期性
periodicY Y方向周期性
periodicZ Z方向周期性
doMeshFix 修复多边形图元
doMeshFix2 修复多边形图元2
triangulate 多边形三角化

world 世界
centroid 重心坐标
mass 质量
material 材质
shape 形状
recentered 重置重心
auto_mass 重置质量
margin 边缘层厚度
constraint 连接约束
neighList 邻接关系列表
newNeighList 新邻接关系列表

emitter 流入
absorber 流出
boundary 边界
particles 粒子
pars 粒子

obj 对象
port 端口
obj0 对象0
obj1 对象1
obj2 对象2
obj3 对象3
obj4 对象4
obj5 对象5
objList 对象列表
objectList 对象列表
constrList 对象列表
doConcat 将列表连接
list 列表
list1 列表1
list2 列表2
droppedList 排除的列表
accumate 累积结果
index 索引
accept 是否接受

input 输入
output 输出

bboxMin 包围盒左下角坐标
bboxMax 包围盒右上角坐标
bmin 包围盒左下角
bmax 包围盒右上角
bminA A的包围盒左下角
bmaxA A的包围盒右上角
bminB B的包围盒左下角
bmaxB B的包围盒右上角
AinsideB A包在B内部
BinsideA B包在A内部
overlap 有重合

grid 体素网格
gridA 体素网格A
gridB 体素网格B
gridC 体素网格C
outGrid 输出体素网格
SDF 距离场(体素网格)
InoutSDF 输入输出距离场(体素网格)
isoValue 表面值
adaptivity 自适应性
allowQuads 允许四边形面
vdbGrid OpenVDB体素网格
resolution 分辨率

name 名称
defl 默认值
type 类型
path 文件路径
fillValue 填充值
dict 词典对象
args 参数词典
extraArgs 额外参数词典
rets 返回值词典
method 方法
object 对象
newObject 新对象

SRC 执行前
DST 执行后
FOR 循环体
FUNC 函数

key 键值
value 数值
vec2 二维矢量
vec3 三维矢量
vec4 四维矢量
X X分量
Y Y分量
Z Z分量
op_type 运算类型
lhs 左参数
rhs 右参数

dim 维度
symmetric 是否对称
isClamped 是否夹到区间内
srcMin 源值最小值
srcMax 源值最大值
dstMin 目标值最小值
dstMax 目标值最大值
count 计数
min 最小值
max 最大值
message 信息
FrameNum 帧编号
routeIn 路由点输入
routeOut 路由点输出

origin 原点
normal 法线
transform 变换
rotation 旋转
translate 平移
translation 位置平移
quatRotation 四元数旋转
eulerXYZ XYZ欧拉角
scaling 缩放比例
scale 缩放

TransformPrimitive 变换几何图元
TranslatePrimitive 平移几何图元
ReadObjPrimitive 读取OBJ几何图元
WriteObjPrimitive 写出OBJ几何图元
